ID,Debrisno,Area_ha,Centroid_X,Centroid_Y,Debrisno_o
1,宜縣DF135,20.47,313654,2727014,宜蘭A089
2,宜縣DF131,40.58,319465,2727383,宜蘭A088
3,宜縣DF132,41.5,318988,2727221,宜蘭A087
4,宜縣DF133,259.29,317490,2726563,宜蘭A086
5,宜縣DF134,188.47,315711,2726614,宜蘭028
6,宜縣DF063,8.83,299949,2718687,宜蘭A074
7,宜縣DF064,77.6,299470,2718031,宜蘭A073
8,宜縣DF072,672.07,296215,2709337,宜蘭A069
9,宜縣DF073,86.9,294477,2709636,宜蘭021
10,宜縣DF074,60.41,293101,2707790,宜蘭020
11,宜縣DF075,37.52,292717,2707339,宜蘭019
12,宜縣DF076,121.86,290779,2708220,宜蘭018
13,宜縣DF077,97.83,289411,2707959,宜蘭017
14,宜縣DF054,4.91,310047,2729345,宜蘭A079
15,宜縣DF055,113.96,309173,2729479,宜蘭A078
16,宜縣DF056,25.58,308551,2728220,宜蘭G97-85
17,宜縣DF057,1315.13,305858,2729910,宜蘭A077
18,宜縣DF078,295.65,287585,2704470,宜蘭016
19,宜縣DF079,16.08,287830,2703898,宜蘭015
20,宜縣DF080,756.79,285626,2702564,宜蘭014
21,宜縣DF081,23.69,286633,2701600,宜蘭013
22,宜縣DF082,170.73,285460,2700697,宜蘭012
23,宜縣DF083,187.94,285387,2699656,宜蘭011
24,宜縣DF084,90.87,286640,2699272,宜蘭010
25,宜縣DF058,207.41,303871,2725293,宜蘭A076
26,宜縣DF059,4.21,303312,2723345,宜蘭A075
27,宜縣DF065,46.18,298690,2716804,宜蘭024
28,宜縣DF066,1256.53,294280,2719402,宜蘭025
29,宜縣DF067,123,298654,2715902,宜蘭023
30,宜縣DF068,371.76,298007,2714334,宜蘭022
31,宜縣DF069,127.45,296723,2714665,宜蘭A072
32,宜縣DF070,71.95,296215,2712895,宜蘭A071
33,宜縣DF071,370.38,296506,2711438,宜蘭A070
34,宜縣DF144,197.17,296714,2713138,宜縣G104-1
35,宜縣DF051,25.6,311634,2731043,宜蘭A082
36,宜縣DF052,22.21,311220,2731231,宜蘭A081
37,宜縣DF053,416.12,309812,2731858,宜蘭A080
38,宜縣DF085,382.03,320554,2721851,宜蘭A084
39,宜縣DF086,162.53,318261,2722177,宜蘭A083
40,宜縣DF149,55.59,319760,2720440,宜縣G106-6
41,宜縣DF087,64.22,315303,2722914,宜蘭G97-87
42,宜縣DF088,19.65,314986,2723007,宜蘭G97-84
43,宜縣DF089,35.3,314900,2723463,宜蘭026
44,宜縣DF090,99.76,310049,2724966,宜蘭G97-83
45,宜縣DF143,239.4,308612,2723920,宜縣G100-6
46,宜縣DF060,2037.44,305879,2718779,宜蘭T005
47,宜縣DF061,57.5,303249,2720022,宜蘭G97-82
48,宜縣DF062,58.68,302857,2719739,宜蘭G97-81
49,宜縣DF119,45.15,319706,2725642,宜蘭027
50,宜縣DF120,60.04,319035,2726537,宜蘭A085
51,宜縣DF121,16.06,325131,2725815,宜蘭A042
52,宜縣DF122,35.12,324838,2725514,宜蘭A043
53,宜縣DF123,25.63,324335,2725278,宜蘭A044
54,宜縣DF124,25.74,323952,2725146,宜蘭A045
55,宜縣DF125,30.34,323507,2724694,宜蘭A046
56,宜縣DF126,8.68,324912,2724167,宜蘭A047
57,宜縣DF130,18.21,327137,2724104,宜蘭A048
58,宜縣DF127,79.49,330360,2722199,宜蘭A049
59,宜縣DF128,15.36,330825,2722704,宜蘭001
60,宜縣DF129,32.79,331347,2723293,宜蘭A050
61,宜縣DF118,0.92,324769,2726773,宜蘭A041
62,宜縣DF099,866.52,332273,2714314,宜蘭004
63,宜縣DF092,30.29,330195,2703237,宜蘭008
64,宜縣DF093,43.06,327978,2708044,宜蘭007
65,宜縣DF150,37.73,326739,2705549,宜縣G106-7
66,宜縣DF091,334.21,326486,2700862,宜蘭009
67,宜縣DF095,164.69,331553,2708744,宜蘭006
68,宜縣DF096,18.49,332521,2708320,宜蘭A065
69,宜縣DF097,42.58,332612,2708994,宜蘭005
70,宜縣DF094,20.24,330654,2707803,宜蘭A064
71,宜縣DF098,8.61,330215,2708467,宜蘭A063
72,宜縣DF146,187.42,329820,2710930,宜縣G106-2
73,宜縣DF147,37.85,330322,2708141,宜縣G106-3
74,宜縣DF139,1571.97,324880,2694512,宜縣G98-4
75,宜縣DF043,46.47,314336,2733963,宜蘭030
76,宜縣DF044,9.81,314576,2733803,宜蘭A093
77,宜縣DF045,18.38,314583,2733500,宜蘭A092
78,宜縣DF046,167.99,313619,2733352,宜蘭A091
79,宜縣DF047,44.35,312592,2732925,宜蘭A090
80,宜縣DF048,792.69,310479,2734101,宜蘭029
81,宜縣DF049,11.37,317963,2734583,宜蘭A094
82,宜縣DF041,223.35,317290,2736220,宜蘭A095
83,宜縣DF042,11.59,319577,2736299,宜蘭A096
84,宜縣DF036,17.08,319876,2741343,宜蘭A100
85,宜縣DF037,13.58,320196,2741226,宜蘭A101
86,宜縣DF038,127.14,319119,2740111,宜蘭A098
87,宜縣DF039,17.75,317717,2739414,宜蘭A097
88,宜縣DF040,84.35,317556,2737389,宜蘭031
89,宜縣DF050,67.05,321027,2739381,宜蘭A099
90,宜縣DF008,35.41,342903,2763176,宜蘭A118
