ID,RIVER_CODE,RIVER_NAME,RIVER_FROM,FREQ
1,,一坑,,1
2,,丁子漏溪,,4
3,,丁子蘭溪,,5
4,,七佳溪,,1
5,,七公圳,,2
6,,七分坑,,3
7,,七家灣溪,,3
8,,七股溪(劉厝排水),,8
9,,七里溪,,1
10,,三份圳,,3
11,,三份坑,,1
12,,三光溪,,2
13,,三叉坑溪,,4
14,,三合溪,,5
15,,三坎溝,,4
16,,三坑,,1
17,,三坑溪,,2
18,,三塊厝排水,,12
19,,三塊厝溝,,13
20,,三姓公溪,,5
21,,三家春坑,,10
22,,三寮灣溪,,3
23,,三層坪坑,,1
24,,三屯圳,,4
25,,三棧北溪,,1
26,,三棧南溪,,5
27,,三民溪,,5
28,,三股溪(大塭寮大排),,19
29,,三興坑排水,,3
30,,上坑,,3
31,,上坑支線,,5
32,,下勞灣溪(樂合溪),,1
33,,下圭柔山溪,,5
34,,下坑,,6
35,,下山坑排水,,2
36,,下山溪,,2
37,,下廓溪,,2
38,,下橫坑,,2
39,,下淡水溪支流,,4
40,,下田溪,,9
41,,下角港溪,,1
42,,中坑,,7
43,,中坑溪,,2
44,,中崙溪,,2
45,,中嵙溪,,10
46,,中林溝,,6
47,,中林溪,,4
48,,中港,,6
49,,中溝,,1
50,,中莊溪,,3
51,,丹大溪,,1
52,,丹大西溪,,1
53,,九岸溪(金仔溝溪),,3
54,,九崁溝,,3
55,,九狗溪,,2
56,,九芎坑溪,,13
57,,乾坑,,3
58,,乾溪(乾溝),,6
59,,二仁溪(二層行溪),,76
60,,二坑,,2
61,,二寮溪,,43
62,,二林溪,,10
63,,二櫃溪,,3
64,,二甲溪,,3
65,,二重嶺溪,,1
66,,二重溪,,55
67,,二鬮溪,,4
68,,五分二圳,,1
69,,五分港溪,,7
70,,五寮河,,5
71,,五崁溪,,9
72,,五座屋下三嵌店圳,,12
73,,五福溪,,29
74,,五股坑溪,,14
75,,五里坑,,3
76,,五重溪,,19
77,,井子腳溝湖溝,,6
78,,仁愛河,,19
79,,他里霧埤,,2
80,,仙洞指坑,,1
81,,伯公溪,,2
82,,伽溪,,5
83,,佳山溪,,1
84,,來社溪,,1
85,,依仁溝,,2
86,,保長坑溪,,7
87,,倒踏坑,,3
88,,僅那鹿角溪,,1
89,,光華坑,,4
90,,內城排水,,5
91,,內埔坑,,3
92,,內埔子圳幹線,,7
93,,內寮溪,,21
94,,內島溪,,2
95,,內惟埤排水溝,,5
96,,內湖溪,,7
97,,內溝溪,,26
98,,內社溪,,2
99,,內茅埔溪,,2
100,,內險坑,,1
101,,內雙溪,,6
102,,八卦力溪,,3
103,,八堵毛溪,,4
104,,八寶圳河道,,7
105,,八角坑,,5
106,,八角林河,,6
107,,八連圳,,1
108,,八連溪,,20
109,,八邊溪,,6
110,,公司田溪,,15
111,,公林溪,,11
112,,六斗坑,,1
113,,六甲溪,,22
114,,六秀坑,,1
115,,六股溪,,6
116,,六重溪,,10
117,,六雙溪,,14
118,,冷水坑,,18
119,,冷水坑圳,,2
120,,凍子腳溪,,5
121,,凸鼻溪,,1
122,,出水坑,,2
123,,出水溪,,9
124,,刀石坑,,4
125,,利哈岸溪,,3
126,,刺仔埔,,3
127,,前鎮運河,,10
128,,劉陳坑,,3
129,,力里溪,,1
130,,加拉板溪,,2
131,,加拿典溪,,2
132,,加拿水溪,,7
133,,加津林溪,,2
134,,加走寮溪,,7
135,,加都魯溪,,3
136,,加鹿溪,,2
137,,包安溪,,1
138,,匏仔園溝,,4
139,,匏仔寮溪(後湖溪),,2
140,,北勢坑,,8
141,,北勢坑溪,,14
142,,北勢溪(新港溪),,16
143,,北勢溪排水,,4
144,,北勢窩溪,,9
145,,北坑,,26
146,,北坑(水璉北溪),,4
147,,北坑溝,,6
148,,北坑溪,,16
149,,北太麻里溪,,6
150,,北寮溪,,1
151,,北山坑溪(木履欄溪),,13
152,,北岸河,,5
153,,北底溪,,3
154,,北斗溪,,4
155,,北溝溪,,8
156,,北溪,,5
157,,北絲鬮溪,,3
158,,北門坑,,2
159,,十三分坑,,5
160,,十九份溪,,2
161,,十二分坑,,2
162,,十五間溪,,2
163,,十八份坑溪,,10
164,,十八重溪,,3
165,,十四坑,,3
166,,十股坑,,5
167,,十股溪,,2
168,,半屏溪,,2
169,,半山坑排水,,6
170,,半嶺溪,,1
171,,卓棍溪,,3
172,,南勢坑,,3
173,,南勢坑溪,,1
174,,南勢埔坑排水,,3
175,,南勢湖溪,,6
176,,南圳,,11
177,,南坑,,19
178,,南坑(水漣南溪),,4
179,,南坑溪,,11
180,,南埔溪,,5
181,,南崁頂圳,,1
182,,南投埤坑,,4
183,,南掃別溪,,3
184,,南榮河,,5
185,,南河,,8
186,,南河圳,,4
187,,南河溪,,4
188,,南清水溪,,3
189,,南港溪(南烘溪),,22
190,,南港溪(頭股溪),,6
191,,南港溪上游,,11
192,,南溪,,4
193,,南澳南溪,,2
194,,南灣溪,,7
195,,南興溪,,2
196,,南雅大坑,,10
197,,南靖溪,,13
198,,南頭河,,5
199,,南風寮坑,,11
200,,卡丹溪,,2
201,,卡布里娃欄溪,,3
202,,卡社溪,,2
203,,厚殼溪,,1
204,,叛散埤,,6
205,,口社溪,,5
206,,口隘溪,,7
207,,古井坑,,1
208,,古楓溪,,2
209,,台南運河,,11
210,,台牛溪,,2
211,,史港溪,,19
212,,合坑溪,,2
213,,合歡溪,,4
214,,吉安溪(七腳川溪),,24
215,,吉洋溪,,5
216,,吳再溪,,4
217,,呂範溪,,2
218,,和平北溪(大濁水溪北溪),,1
219,,和平南溪(大濁水南溪),,5
220,,和平南溪(大濁水溪南溪),,10
221,,和平溪(大濁水溪),,13
222,,和社溪,,3
223,,和興坑排水,,11
224,,和興溪,,4
225,,員林坑溪,,2
226,,唭子坑,,1
227,,啞口坑溪,,10
228,,嘉寶溪,,4
229,,嘉武溪,,2
230,,嘉農溪,,6
231,,四分溪,,16
232,,四堵溪,,2
233,,四好橋溝,,12
234,,四季郎溪,,1
235,,四草內海,,1
236,,土人頭坑,,3
237,,土南坑,,1
238,,土地公坑,,8
239,,土地公溪,,17
240,,土埋坑,,1
241,,土城溪,,6
242,,土場溪(多望溪),,2
243,,土庫溪,,20
244,,圣子坑,,3
245,,在來溪谷,,9
246,,圳頭坑溪,,18
247,,圳頭溪,,12
248,,坑內坑,,3
249,,坑內溝,,5
250,,坑內溪,,7
251,,坑口埤,,2
252,,坑口溪,,3
253,,坑埤圳,,1
254,,坑子口圳,,8
255,,坑子溪,,26
256,,坑角溝,,4
257,,坪林坑,,2
258,,坪溪,,4
259,,坪瀨溪,,1
260,,埔坑,,4
261,,埔羌溪,,3
262,,埔萎林坑,,5
263,,埔頭坑溪,,10
264,,基隆河廢河道,,4
265,,塔乃庫溪,,1
266,,塔寮溪,,42
267,,塔羅灣溪,,1
268,,塭子川,,6
269,,墘溪,,6
270,,壟鉤坑,,4
271,,士文溪,,1
272,,壽豐溪(知呀漢溪),,3
273,,外湖溪,,7
274,,外雙溪,,15
275,,多利溪,,2
276,,大不岸溪,,1
277,,大南坑,,5
278,,大南溪,,2
279,,大古溪,,4
280,,大和溪,,3
281,,大坑,,4
282,,大坑溝,,6
283,,大坑溪,,92
284,,大坑缺溪,,7
285,,大坡溪,,13
286,,大坪溪,,26
287,,大埔溪,,12
288,,大埔美溪,,9
289,,大安圳幹線,,13
290,,大崙溪,,2
291,,大平窩溪,,11
292,,大庄排水,,2
293,,大後溪(托阿沃溪),,1
294,,大東勢溪,,5
295,,大東河,,17
296,,大梅溪,,6
297,,大武崙溪,,25
298,,大武溪(茶茶牙賴溪),,2
299,,大沙溪,,2
300,,大流溪,,5
301,,大深坑,,31
302,,大湖口溪,,48
303,,大湖坑,,8
304,,大湖底溪,,4
305,,大湖桶坑,,2
306,,大溪(石門溪),,3
307,,大溪墘溪,,4
308,,大溪溪,,3
309,,大漢溪上游,,4
310,,大濱溪,,2
311,,大甲溪口,,1
312,,大目幹溪,,15
313,,大石坑,,2
314,,大石板溪,,1
315,,大社溪,,1
316,,大窠溪,,5
317,,大肚溪,,5
318,,大荖藤溪,,1
319,,大豐溪,,6
320,,大豹溪,,9
321,,大金面第二湧泉圳,,2
322,,大鳥溪,,2
323,,天狗溪(田古爾溪),,1
324,,太平坑,,20
325,,太石盤溪,,2
326,,奄江岸坑,,2
327,,奇美東溪,,1
328,,奇美溪,,2
329,,奇美西溪,,1
330,,好蘭溪,,2
331,,姑娘溪,,4
332,,姑婆寮溪,,1
333,,姑子崙溪,,1
334,,姜子寮坑,,3
335,,姜子寮溪,,3
336,,學仔溪,,2
337,,安坡溪,,7
338,,安夜西溪,,3
339,,安平坑,,3
340,,安農溪,,28
341,,安農溪支流,,3
342,,安通溪,,8
343,,官田溪,,7
344,,密枝溪,,3
345,,富源溪(馬蘭鉤溪),,32
346,,富興溪,,10
347,,寶珠排水溝,,11
348,,將軍溪上游線,,10
349,,尋腰溪,,3
350,,小半山排水,,8
351,,小南灣坑,,3
352,,小坑(哆囉固溪支流),,13
353,,小坑仔溪,,8
354,,小東勢溪,,4
355,,小東河,,2
356,,小路溪,,3
