fid_master,name,fid_link,guess_link
DATAGOV-22228@151000,濁水溪,WIKIDATA-1@Q708374,WIKIDATA-1@Q708374
DATAGOV-22228@130000,頭前溪,WIKIDATA-1@Q8007827,WIKIDATA-1@Q8007827
DATAGOV-22228@158020,頭前溪,,
DATAGOV-22228@2200,富源溪,,WIKIDATA-1@Q32752867
DATAGOV-22228@2370,安通溪,,WIKIDATA-1@Q32231158
DATAGOV-22228@2420,南清水溪,,
DATAGOV-22228@2560,土場溪,,
DATAGOV-22228@101000,磺溪,,WIKIDATA-1@Q16929154|WIKIDATA-1@Q15914374
DATAGOV-22228@102000,小坑溪,,WIKIDATA-1@Q10958486
DATAGOV-22228@103000,乾華溪,,WIKIDATA-1@Q10879948
DATAGOV-22228@104000,石門溪,,WIKIDATA-1@Q16929153
DATAGOV-22228@105000,老梅溪,,WIKIDATA-1@Q16929211
DATAGOV-22228@106000,楓林溪,,WIKIDATA-1@Q11119633|WIKIDATA-1@Q32752108
DATAGOV-22228@107000,八甲溪,,WIKIDATA-1@Q10892312|WIKIDATA-1@Q32429784
DATAGOV-22228@108000,埔坪溪,,WIKIDATA-1@Q10930142
DATAGOV-22228@109000,八蓮溪,,
DATAGOV-22228@110000,大屯溪,,WIKIDATA-1@Q10935069|WIKIDATA-1@Q32723702
DATAGOV-22228@111000,後州溪,,
DATAGOV-22228@112000,興仁溪,,WIKIDATA-1@Q16929276
DATAGOV-22228@113000,林子溪,,WIKIDATA-1@Q11105934
DATAGOV-22228@114000,淡水河,,WIKIDATA-1@Q2420747
DATAGOV-22228@114010,大漢溪,,WIKIDATA-1@Q199374
DATAGOV-22228@114011,三峽溪,,
DATAGOV-22228@114012,鶯歌溪(兔子坑溪排水),,
DATAGOV-22228@114013,塔寮坑溪,,WIKIDATA-1@Q10930761
DATAGOV-22228@114014,塔克金溪,,WIKIDATA-1@Q10930702
DATAGOV-22228@114015,三光溪,,WIKIDATA-1@Q10865357
DATAGOV-22228@114016,泰崗溪,,WIKIDATA-1@Q34906353
DATAGOV-22228@114017,白石溪,,WIKIDATA-1@Q32429459
DATAGOV-22228@114018,玉峰溪(馬里闊丸溪),,
DATAGOV-22228@114020,新店溪,,WIKIDATA-1@Q199378|WIKIDATA-1@Q64358842
DATAGOV-22228@114021,南勢溪,,ORG-1@638|WIKIDATA-1@Q667308
DATAGOV-22228@114022,北勢溪,,ORG-1@590|WIKIDATA-1@Q3637532|WIKIDATA-1@Q32475465|WIKIDATA-1@Q32475470|WIKIDATA-1@Q32475480|WIKIDATA-1@Q32475449|WIKIDATA-1@Q32475460
DATAGOV-22228@114023,景美溪,,WIKIDATA-1@Q5101032
DATAGOV-22228@114024,青潭溪,,ORG-1@70|WIKIDATA-1@Q16929447|WIKIDATA-1@Q35332314
DATAGOV-22228@114028,軋孔溪,,
DATAGOV-22228@114029,大羅蘭溪,,WIKIDATA-1@Q32718588
DATAGOV-22228@114030,基隆河,,WIKIDATA-1@Q708976
DATAGOV-22228@114031,暖暖溪,,WIKIDATA-1@Q32740764
DATAGOV-22228@114032,大武崙溪,,ORG-1@1513|WIKIDATA-1@Q17023655
DATAGOV-22228@114033,拔西猴溪,,ORG-1@1515|WIKIDATA-1@Q32469377
DATAGOV-22228@114034,瑪陵坑溪,,ORG-1@1517|WIKIDATA-1@Q35486347
DATAGOV-22228@114035,友蚋溪,,ORG-1@1518|WIKIDATA-1@Q87228687
DATAGOV-22228@114036,保長坑溪,,ORG-1@309|WIKIDATA-1@Q9392660
DATAGOV-22228@114037,茄苳溪,,ORG-1@310|WIKIDATA-1@Q17194226|WIKIDATA-1@Q16929285|WIKIDATA-1@Q35331693|WIKIDATA-1@Q35331707|WIKIDATA-1@Q35331721|WIKIDATA-1@Q35331735|WIKIDATA-1@Q35331749
DATAGOV-22228@114038,禮門溪,,WIKIDATA-1@Q16929164
DATAGOV-22228@114039,智慧溪,,WIKIDATA-1@Q11090268
DATAGOV-22228@114040,疏洪道,,
DATAGOV-22228@114050,樹梅坑溪,,ORG-1@68|WIKIDATA-1@Q11121785|WIKIDATA-2@Q11121785
DATAGOV-22228@115000,水仙溪,,
DATAGOV-22228@116000,寶斗溪,,WIKIDATA-1@Q10956226
DATAGOV-22228@117000,林口溪,,WIKIDATA-1@Q11105599
DATAGOV-22228@118000,南崁溪,,WIKIDATA-1@Q6963739
DATAGOV-22228@118010,茄苳溪,,
